"id1" "id2" "simpson"
54 59 0.428571428571429
55 59 0.615384615384615
56 59 0.0714285714285714
57 59 0.461538461538462
1 60 0.0769230769230769
4 60 0.0769230769230769
5 60 0.0769230769230769
7 60 0.0769230769230769
8 60 0.384615384615385
9 60 0.230769230769231
10 60 0.692307692307692
11 60 0.846153846153846
12 60 0.538461538461538
13 60 0.0769230769230769
15 60 0.0769230769230769
16 60 0.0769230769230769
17 60 0.0769230769230769
18 60 0.307692307692308
19 60 0.461538461538462
20 60 0.923076923076923
21 60 0.230769230769231
22 60 0.615384615384615
23 60 0.461538461538462
25 60 0.0769230769230769
26 60 0.307692307692308
27 60 0.0769230769230769
28 60 0.692307692307692
29 60 0.0769230769230769
30 60 0.384615384615385
31 60 0.0769230769230769
32 60 0.461538461538462
33 60 0.384615384615385
34 60 0.307692307692308
35 60 0.153846153846154
36 60 0.0769230769230769
37 60 0.769230769230769
